protein id,ORIGIN,Protein description,PH7.85R1,PH7.85R2,PH7.85R3,PH8.15R1,PH8.15R2,PH8.15R3,PH8.45R1,PH8.45R2,PH8.45R3,fold1,fold2,Subcellular localization,Biological Process,Cellular Component,Molecular Function,KEGG KO No.,KEGG Gene,KEGG pathway,IPR ID,Domain description
c200849_g1_orf1,coral,len=229  frame:1  start:379  end:1065  predicted protein [Nematostella vectensis]&gt;gi|156224888|gb|EDO45710.1| predicted protein [Nematostella vectensis],1.439,1.175,1.175,0.616,0.687,0.84,0.957,1.044,1.085,1.768082128,0.961114712,cytoplasm,,,GO:0003824 catalytic activity; GO:0016491 oxidoreductase activity; ,,,,IPR016040; ,NAD(P)-binding domain; 
c208953_g1_orf1,coral,len=346  frame:-1  start:2284  end:1247  predicted protein [Nematostella vectensis]&gt;gi|156221116|gb|EDO41975.1| predicted protein [Nematostella vectensis],1.254,1.161,1.289,0.792,0.739,0.728,1.026,0.916,0.984,1.639663568,1.107997266,mitochondria,,,"GO:0016779 nucleotidyltransferase activity; GO:0003824 catalytic activity; GO:0016740 transferase activity; GO:0016772 transferase activity, transferring phosphorus-containing groups; ",,,,IPR002934; IPR002058; ,"Polymerase, nucleotidyl transferase domain; PAP/25A-associated; "
c198010_g1_orf1,coral,len=323  frame:-1  start:1129  end:161  predicted protein [Nematostella vectensis]&gt;gi|156221102|gb|EDO41961.1| predicted protein [Nematostella vectensis],1.259,1.289,1.193,0.75,0.834,0.752,1.045,1.032,0.945,1.601455479,1.069490404,extracellular,,,GO:0005201 extracellular matrix structural constituent; GO:0005198 structural molecule activity; ,,,,IPR002181; IPR000885; IPR014716; ,"Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain; Fibrillar collagen, C-terminal; Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 1; "
c199935_g1_orf1,coral,"len=407  frame:1  start:79  end:1299  predicted protein [Nematostella vectensis]&gt;gi|156214233|gb|EDO35227.1| predicted protein, partial [Nematostella vectensis]",1.013,1.068,1.375,0.762,0.623,0.791,0.861,1.031,1.192,1.588235294,1.03923476,extracellular,,GO:0016020 membrane; ,GO:0038024 cargo receptor activity; GO:0005044 scavenger receptor activity; GO:0060089 molecular transducer activity; GO:0004872 receptor activity; ,,,,IPR017448; IPR001190; ,SRCR-like domain; SRCR domain; 
c194354_g1_orf2,coral,len=362  frame:3  start:1815  end:2900  predicted protein [Nematostella vectensis]&gt;gi|156220173|gb|EDO41045.1| predicted protein [Nematostella vectensis],1.306,1.013,1.237,0.714,0.732,0.794,0.99,1.144,1.113,1.5875,0.912842624,cytoplasm,,,,,,,IPR001507; ,Zona pellucida domain; 
c192590_g1_orf1,coral,len=261  frame:-1  start:907  end:125  predicted protein [Nematostella vectensis]&gt;gi|156213085|gb|EDO34116.1| predicted protein [Nematostella vectensis],1.165,1.115,1.306,0.682,0.791,0.798,1.185,1.279,0.709,1.57904007,0.977938859,mitochondria,,,,,,,IPR029058; ,Alpha/Beta hydrolase fold; 
c205097_g1_orf1,coral,len=447  frame:1  start:310  end:1650  hypothetical protein BRAFLDRAFT_127093 [Branchiostoma floridae]&gt;gi|229298988|gb|EEN69611.1| hypothetical protein BRAFLDRAFT_127093 [Branchiostoma floridae],1.179,1.185,1.19,0.734,0.711,0.82,1.079,1.194,0.868,1.569094923,0.989812162,mitochondria,,,,,,,,
c191624_g1_orf1,coral,len=282  frame:2  start:2  end:847  predicted protein [Nematostella vectensis]&gt;gi|156217847|gb|EDO38756.1| predicted protein [Nematostella vectensis],1.121,1.062,1.295,0.792,0.669,0.8,0.97,1.158,1.186,1.538257408,0.950211225,cytoplasm,GO:0016053 organic acid biosynthetic process; GO:0044699 single-organism process; GO:0009058 biosynthetic process; GO:1901566 organonitrogen compound biosynthetic process; GO:0044237 cellular metabolic process; GO:0009084 glutamine family amino acid biosynthetic process; GO:0071704 organic substance metabolic process; GO:0008152 metabolic process; GO:0006520 cellular amino acid metabolic process; GO:0046483 heterocycle metabolic process; GO:1901607 alpha-amino acid biosynthetic process; GO:0006560 proline metabolic process; GO:0009987 cellular process; GO:0006561 proline biosynthetic process; GO:0009064 glutamine family amino acid metabolic process; GO:0008652 cellular amino acid biosynthetic process; GO:0018130 heterocycle biosynthetic process; GO:0044711 single-organism biosynthetic process; GO:0055114 oxidation-reduction process; GO:0044281 small molecule metabolic process; GO:0044763 single-organism cellular process; GO:0006807 nitrogen compound metabolic process; GO:1901360 organic cyclic compound metabolic process; GO:1901605 alpha-amino acid metabolic process; GO:0044238 primary metabolic process; GO:1901576 organic substance biosynthetic process; GO:0044249 cellular biosynthetic process; GO:0046394 carboxylic acid biosynthetic process; GO:0044710 single-organism metabolic process; GO:0019752 carboxylic acid metabolic process; GO:0044283 small molecule biosynthetic process; GO:0006082 organic acid metabolic process; GO:0043436 oxoacid metabolic process; GO:1901362 organic cyclic compound biosynthetic process; GO:1901564 organonitrogen compound metabolic process; ,,"GO:0016645 oxidoreductase activity, acting on the CH-NH group of donors; GO:0016646 oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor; GO:0003824 catalytic activity; GO:0004735 pyrroline-5-carboxylate reductase activity; GO:0016491 oxidoreductase activity; ",,,,IPR028939; IPR008927; IPR016040; IPR029036; ,"Pyrroline-5-carboxylate reductase, catalytic, N-terminal; 6-phosphogluconate dehydrogenase C-terminal domain-like; NAD(P)-binding domain; Pyrroline-5-carboxylate reductase, dimerisation domain; "
c187138_g1_orf1,coral,len=168  frame:-2  start:1046  end:543  predicted protein [Nematostella vectensis]&gt;gi|156216388|gb|EDO37326.1| predicted protein [Nematostella vectensis],1.303,1.197,1.049,0.796,0.692,0.822,0.983,0.9,1.068,1.536363636,1.030837004,cytoplasm,,,GO:0005515 protein binding; GO:0016853 isomerase activity; GO:0003824 catalytic activity; GO:0005488 binding; ,,,,IPR001202; IPR000297; ,"WW domain; Peptidyl-prolyl cis-trans isomerase, PpiC-type; "
c200667_g3_orf1,coral,len=421  frame:1  start:136  end:1398  predicted protein [Nematostella vectensis]&gt;gi|156216923|gb|EDO37850.1| predicted protein [Nematostella vectensis],1.163,1.181,1.177,0.796,0.74,0.774,1.129,1.109,0.998,1.524242424,0.974660074,cytoplasm,GO:0051188 cofactor biosynthetic process; GO:0006790 sulfur compound metabolic process; GO:0046500 S-adenosylmethionine metabolic process; GO:0009058 biosynthetic process; GO:0006732 coenzyme metabolic process; GO:1901576 organic substance biosynthetic process; GO:0044237 cellular metabolic process; GO:0044272 sulfur compound biosynthetic process; GO:0044249 cellular biosynthetic process; GO:0051186 cofactor metabolic process; GO:0071704 organic substance metabolic process; GO:0008152 metabolic process; GO:0009108 coenzyme biosynthetic process; GO:0009987 cellular process; GO:0006556 S-adenosylmethionine biosynthetic process; ,,"GO:0005524 ATP binding; GO:1901265 nucleoside phosphate binding; GO:0001882 nucleoside binding; GO:0043167 ion binding; GO:0000166 nucleotide binding; GO:0004478 methionine adenosyltransferase activity; GO:0097159 organic cyclic compound binding; GO:1901363 heterocyclic compound binding; GO:0032549 ribonucleoside binding; GO:0097367 carbohydrate derivative binding; GO:0003824 catalytic activity; GO:0032553 ribonucleotide binding; GO:0005488 binding; GO:0032550 purine ribonucleoside binding; GO:0016765 transferase activity, transferring alkyl or aryl (other than methyl) groups; GO:0043168 anion binding; GO:0032555 purine ribonucleotide binding; GO:0032559 adenyl ribonucleotide binding; GO:0030554 adenyl nucleotide binding; GO:0001883 purine nucleoside binding; GO:0016740 transferase activity; GO:0017076 purine nucleotide binding; GO:0036094 small molecule binding; GO:0035639 purine ribonucleoside triphosphate binding; ",,,,IPR022636; IPR022628; IPR022629; IPR022630; ,"S-adenosylmethionine synthetase superfamily; S-adenosylmethionine synthetase, N-terminal; S-adenosylmethionine synthetase, central domain; S-adenosylmethionine synthetase, C-terminal; "
c192138_g1_orf1,coral,len=263  frame:-1  start:789  end:1  RecName: Full=Fibronectin type III domain-containing protein AltName: Full=Neuroglian-like protein Flags: Precursor [Acropora millepora],1.149,1.226,1.113,0.779,0.801,0.712,1.253,1.136,0.887,1.521815009,0.951770452,cytoplasm,,,GO:0005515 protein binding; GO:0005488 binding; ,,,,IPR013783; IPR003961; ,Immunoglobulin-like fold; Fibronectin type III; 
c206173_g1_orf2,coral,len=564  frame:-3  start:3421  end:1730  predicted protein [Nematostella vectensis]&gt;gi|156227266|gb|EDO48070.1| predicted protein [Nematostella vectensis],1.145,1.192,1.123,0.814,0.754,0.711,1.075,1.112,0.994,1.518209741,0.983652939,mitochondria,GO:0055114 oxidation-reduction process; GO:0044712 single-organism catabolic process; GO:0044281 small molecule metabolic process; GO:0044763 single-organism cellular process; GO:0072329 monocarboxylic acid catabolic process; GO:0006807 nitrogen compound metabolic process; GO:0044699 single-organism process; GO:0044282 small molecule catabolic process; GO:0044238 primary metabolic process; GO:0044237 cellular metabolic process; GO:0071704 organic substance metabolic process; GO:0046395 carboxylic acid catabolic process; GO:1901575 organic substance catabolic process; GO:0008152 metabolic process; GO:1901565 organonitrogen compound catabolic process; GO:0006520 cellular amino acid metabolic process; GO:0009448 gamma-aminobutyric acid metabolic process; GO:0044710 single-organism metabolic process; GO:0019752 carboxylic acid metabolic process; GO:0016054 organic acid catabolic process; GO:0044248 cellular catabolic process; GO:0032787 monocarboxylic acid metabolic process; GO:0009063 cellular amino acid catabolic process; GO:0006082 organic acid metabolic process; GO:0009987 cellular process; GO:0009450 gamma-aminobutyric acid catabolic process; GO:0009056 catabolic process; GO:0043436 oxoacid metabolic process; GO:1901564 organonitrogen compound metabolic process; ,,"GO:0016620 oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0009013 succinate-semialdehyde dehydrogenase [NAD(P)+] activity; GO:0003824 catalytic activity; GO:0016491 oxidoreductase activity; GO:0016903 oxidoreductase activity, acting on the aldehyde or oxo group of donors; ",,,,IPR016161; IPR015590; IPR016162; IPR016163; ,"Aldehyde/histidinol dehydrogenase; Aldehyde dehydrogenase domain; Aldehyde dehydrogenase N-terminal domain; Aldehyde dehydrogenase, C-terminal; "
c199156_g2_orf1,coral,len=125  frame:-1  start:1208  end:834  predicted protein [Nematostella vectensis]&gt;gi|156218374|gb|EDO39272.1| predicted protein [Nematostella vectensis],0.962,1.085,1.139,0.637,0.749,0.746,1.367,1.053,1.375,1.494371482,0.753886693,cytoplasm,,,,,,,IPR011256; ,"Regulatory factor, effector binding domain; "
c210881_g1_orf1,coral,len=154  frame:2  start:11  end:472  hypothetical protein BRAFLDRAFT_261281 [Branchiostoma floridae]&gt;gi|229292770|gb|EEN63433.1| hypothetical protein BRAFLDRAFT_261281 [Branchiostoma floridae],1.236,1.038,1.036,0.645,0.746,0.836,1.228,1.158,1.107,1.486304445,0.778413971,"cytoplasm,nucleus",GO:0006810 transport; GO:0051179 localization; GO:0051234 establishment of localization; ,GO:0005623 cell; GO:0005622 intracellular; GO:0044464 cell part; ,,,,,IPR002075; IPR018222; IPR032710; ,"Nuclear transport factor 2; Nuclear transport factor 2, eukaryote; NTF2-like domain; "
c210880_g3_orf1,coral,len=115  frame:3  start:3  end:347  hypothetical protein Y032_0333g2817 [Ancylostoma ceylanicum],1.17,0.773,1.056,0.707,0.663,0.651,1.505,1.254,1.182,1.483918852,0.6434915,cytoplasm,,,,K12162,,,IPR029071; ,Ubiquitin-related domain; 
c200940_g1_orf1,coral,len=143  frame:-2  start:431  end:3  RecName: Full=Uncharacterized skeletal organic matrix protein 2 Short=Uncharacterized SOMP-2 Flags: Precursor [Acropora millepora],1.2,0.923,1.048,0.709,0.62,0.835,1.232,1.222,1.171,1.465341959,0.739310345,extracellular,,,,,,,,
c192404_g1_orf1,coral,len=185  frame:-1  start:885  end:331  RecName: Full=Profilin [Clypeaster japonicus],1.063,0.955,1.152,0.703,0.675,0.821,1.06,1.24,1.109,1.441564347,0.824288648,cytoplasm,,,,K05759,PFN; profilin,ko04013 MAPK signaling pathway - fly; ko05132 Salmonella infection; ko04810 Regulation of actin cytoskeleton; ko05131 Shigellosis; ko04015 Rap1 signaling pathway; ,,
c195620_g2_orf1,coral,len=313  frame:2  start:182  end:1120  predicted protein [Nematostella vectensis]&gt;gi|156216833|gb|EDO37761.1| predicted protein [Nematostella vectensis],1.136,0.991,1.138,0.771,0.879,0.634,1.177,1.096,1.271,1.429509632,0.818284424,cytoplasm,GO:0043632 modification-dependent macromolecule catabolic process; GO:0044265 cellular macromolecule catabolic process; GO:0051603 proteolysis involved in cellular protein catabolic process; GO:0044257 cellular protein catabolic process; GO:0019941 modification-dependent protein catabolic process; GO:0044267 cellular protein metabolic process; GO:0006511 ubiquitin-dependent protein catabolic process; GO:0044238 primary metabolic process; GO:0044237 cellular metabolic process; GO:0071704 organic substance metabolic process; GO:1901575 organic substance catabolic process; GO:0008152 metabolic process; GO:0030163 protein catabolic process; GO:0009057 macromolecule catabolic process; GO:0044260 cellular macromolecule metabolic process; GO:0044248 cellular catabolic process; GO:0006508 proteolysis; GO:0019538 protein metabolic process; GO:0043170 macromolecule metabolic process; GO:0009987 cellular process; GO:0009056 catabolic process; ,,,,,,,
c201361_g1_orf1,coral,len=300  frame:2  start:89  end:988  PREDICTED: cell wall protein PRY3-like [Hydra vulgaris],1.098,1.077,1.051,0.756,0.785,0.723,1.175,1.183,1.123,1.424911661,0.828497558,extracellular,,GO:0005576 extracellular region; ,,,,,IPR034113; IPR014044; ,"Golgi-associated plant pathogenesis-related protein 1, SCP domain; CAP domain; "
c185378_g1_orf1,coral,len=137  frame:-1  start:411  end:1  predicted protein [Nematostella vectensis]&gt;gi|156215434|gb|EDO36394.1| predicted protein [Nematostella vectensis],1.16,1.001,1.059,0.733,0.777,0.773,1.181,1.172,1.252,1.41042488,0.774757282,cytoplasm,,,,,,,,
c206148_g1_orf1,coral,len=179  frame:-3  start:1882  end:1346  predicted protein [Nematostella vectensis]&gt;gi|156223920|gb|EDO44750.1| predicted protein [Nematostella vectensis],1.038,1.216,1.009,0.828,0.776,0.723,1.164,1.271,1.087,1.402234637,0.866837024,mitochondria,GO:0006457 protein folding; GO:0009987 cellular process; ,GO:0016272 prefoldin complex; GO:0032991 macromolecular complex; GO:0043234 protein complex; ,GO:0005515 protein binding; GO:0051082 unfolded protein binding; GO:0005488 binding; ,,,,,
c203910_g1_orf1,coral,"len=333  frame:-3  start:1935  end:937  predicted protein [Nematostella vectensis]&gt;gi|156221694|gb|EDO42546.1| predicted protein, partial [Nematostella vectensis]",0.968,1.219,1.073,0.689,0.799,0.839,1.12,1.203,1.195,1.400945423,0.847356453,"cytoplasm,nucleus",,,GO:0005515 protein binding; GO:0051082 unfolded protein binding; GO:0031072 heat shock protein binding; GO:0005488 binding; ,,,,IPR001305; ,"Heat shock protein DnaJ, cysteine-rich domain; "
c195350_g1_orf1,coral,len=258  frame:-1  start:1773  end:1000  hypothetical protein pA79-1 [Acropora millepora],0.935,0.969,1.213,0.723,0.809,0.738,1.335,1.068,1.218,1.373127753,0.802264568,cytoplasm,,,"GO:0016787 hydrolase activity; GO:0016811 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; GO:0003824 catalytic activity; GO:0016810 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; ",,,,IPR029055; IPR029132; ,"Nucleophile aminohydrolases, N-terminal; Choloylglycine hydrolase/NAAA C-terminal; "
c199925_g1_orf1,coral,"len=455  frame:-2  start:1639  end:275  rhamnospondin-2, partial [Hydractinia symbiolongicarpus]",1.049,1.045,1.027,0.778,0.737,0.76,1.387,1.12,1.218,1.371868132,0.765100671,cytoplasm,,,,,,,IPR002035; ,"von Willebrand factor, type A; "
c207060_g1_orf1,coral,len=300  frame:-1  start:901  end:2  predicted protein [Nematostella vectensis]&gt;gi|156223994|gb|EDO44824.1| predicted protein [Nematostella vectensis],1.093,0.931,1.038,0.735,0.91,0.596,1.437,1.231,1.165,1.366354306,0.705452648,extracellular,,,,,,,,
c203420_g2_orf1,coral,"len=468  frame:2  start:359  end:1762  predicted protein [Nematostella vectensis]&gt;gi|156216420|gb|EDO37357.1| predicted protein, partial [Nematostella vectensis]",0.941,1.222,0.986,0.845,0.69,0.824,1.134,1.064,1.417,1.334887664,0.844536653,cytoplasm,,,,,,,,
c201471_g2_orf1,coral,"len=437  frame:-3  start:1944  end:634  predicted protein [Nematostella vectensis]&gt;gi|156219216|gb|EDO40101.1| predicted protein, partial [Nematostella vectensis]",1.047,0.957,0.976,0.985,0.634,0.666,1.17,1.306,1.155,1.304157549,0.803635362,mitochondria,,GO:0043226 organelle; GO:0043231 intracellular membrane-bounded organelle; GO:0043229 intracellular organelle; GO:0005634 nucleus; GO:0044464 cell part; GO:0005622 intracellular; GO:0005737 cytoplasm; GO:0044424 intracellular part; GO:0043227 membrane-bounded organelle; GO:0005623 cell; ,,,,,IPR032368; ,UCH-binding domain; 
c199480_g1_orf1,coral,len=369  frame:1  start:94  end:1200  predicted protein [Nematostella vectensis]&gt;gi|156228172|gb|EDO48972.1| predicted protein [Nematostella vectensis],1.091,1.056,0.983,0.87,0.766,0.773,1.092,1.237,1.454,1.299294313,0.768966429,cytoplasm,,,"GO:0016746 transferase activity, transferring acyl groups; GO:0008080 N-acetyltransferase activity; GO:0003824 catalytic activity; GO:0016740 transferase activity; GO:0016747 transferase activity, transferring acyl groups other than amino-acyl groups; GO:0016407 acetyltransferase activity; GO:0016410 N-acyltransferase activity; ",,,,IPR000182; IPR016181; ,GNAT domain; Acyl-CoA N-acyltransferase; 
c200206_g1,coral,len=370  start:1  end:1108 minus strand,1.026,1.125,1.03,0.894,0.808,0.753,1.285,1.104,1.363,1.295723014,0.812633262,mitochondria,,,,,,,,
c202966_g5_orf1,coral,len=338  frame:3  start:3  end:1016  hypothetical protein [Acidobacteriaceae bacterium KBS 96],0.996,0.956,1.017,0.768,0.707,0.841,1.167,1.291,1.25,1.281951641,0.739212513,cytoplasm,GO:0044699 single-organism process; GO:0008152 metabolic process; GO:0055114 oxidation-reduction process; GO:0044710 single-organism metabolic process; ,,GO:0003824 catalytic activity; GO:0016491 oxidoreductase activity; ,K00344,,,IPR011032; IPR020843; IPR016040; IPR013154; IPR013149; ,"GroES-like; Polyketide synthase, enoylreductase domain; NAD(P)-binding domain; Alcohol dehydrogenase, N-terminal; Alcohol dehydrogenase, C-terminal; "
c203911_g1_orf1,coral,len=199  frame:-2  start:2218  end:1622  PREDICTED: tubulin polymerization-promoting protein family member 2 [Strongylocentrotus purpuratus]&gt;gi|780165218|ref|XP_011683665.1| PREDICTED: tubulin polymerization-promoting protein family member 2 [Strongylocentrotus purpuratus],1.038,1.044,0.967,0.812,0.746,0.822,1.21,1.177,1.295,1.281092437,0.766702879,cytoplasm,,,,,,,IPR011992; ,EF-hand domain pair; 
c208328_g1_orf1,coral,len=385  frame:3  start:303  end:1457  predicted protein [Nematostella vectensis]&gt;gi|156219327|gb|EDO40211.1| predicted protein [Nematostella vectensis],1.595,1.656,1.503,0.249,0.288,0.191,1.166,1.255,1.057,6.53021978,0.979873491,peroxisome,,,GO:0005515 protein binding; GO:0005488 binding; ,,,,IPR011990; ,Tetratricopeptide-like helical domain; 
c207480_g1_orf1,coral,len=722  frame:-2  start:2403  end:238  PREDICTED: SCO-spondin-like [Hydra vulgaris],1.899,1.332,1.564,0.487,0.462,0.452,0.971,0.879,0.826,3.422555318,1.264200299,plasma membrane,,,,,,,,
c194654_g1_orf1,coral,len=213  frame:3  start:3  end:641  predicted protein [Nematostella vectensis]&gt;gi|156220173|gb|EDO41045.1| predicted protein [Nematostella vectensis],1.267,1.201,1.209,0.376,0.425,0.35,1.393,1.689,1.227,3.19461338,0.646553725,nucleus,,,GO:0043169 cation binding; GO:0046872 metal ion binding; GO:0005515 protein binding; GO:0005509 calcium ion binding; GO:0005488 binding; GO:0043167 ion binding; ,,,,IPR001881; IPR000742; ,EGF-like calcium-binding domain; EGF-like domain; 
c191400_g1_orf1,coral,len=168  frame:2  start:2  end:505  RecName: Full=Equinatoxin-5 AltName: Full=Equinatoxin V Short=EqT V Short=EqTV Flags: Precursor [Actinia equina]&gt;gi|1518518|gb|AAC05720.1| equinatoxin V precursor [Actinia equina],1.246,1.159,1.049,0.343,0.502,0.492,1.418,1.53,1.194,2.583395662,0.615886045,extracellular,"GO:0044085 cellular component biogenesis; GO:0016043 cellular component organization; GO:0019835 cytolysis; GO:0065008 regulation of biological quality; GO:0044764 multi-organism cellular process; GO:0035821 modification of morphology or physiology of other organism; GO:0051234 establishment of localization; GO:0051817 modification of morphology or physiology of other organism involved in symbiotic interaction; GO:0046931 pore complex assembly; GO:0051883 killing of cells in other organism involved in symbiotic interaction; GO:0052331 hemolysis in other organism involved in symbiotic interaction; GO:0006812 cation transport; GO:0031640 killing of cells of other organism; GO:0022607 cellular component assembly; GO:0065003 macromolecular complex assembly; GO:0044419 interspecies interaction between organisms; GO:0001906 cell killing; GO:0009987 cellular process; GO:0006461 protein complex assembly; GO:0051818 disruption of cells of other organism involved in symbiotic interaction; GO:0071822 protein complex subunit organization; GO:0044403 symbiosis, encompassing mutualism through parasitism; GO:0051704 multi-organism process; GO:0043933 macromolecular complex subunit organization; GO:0006810 transport; GO:0051715 cytolysis in other organism; GO:0051801 cytolysis in other organism involved in symbiotic interaction; GO:0044179 hemolysis in other organism; GO:0006811 ion transport; GO:0044364 disruption of cells of other organism; GO:0070271 protein complex biogenesis; GO:0051179 localization; GO:0071840 cellular component organization or biogenesis; GO:0065007 biological regulation; ",GO:0016020 membrane; GO:0098796 membrane protein complex; GO:0044425 membrane part; GO:0046930 pore complex; GO:0032991 macromolecular complex; GO:0031224 intrinsic component of membrane; GO:0043234 protein complex; GO:0016021 integral component of membrane; ,GO:0015267 channel activity; GO:0005215 transporter activity; GO:0022857 transmembrane transporter activity; GO:0022803 passive transmembrane transporter activity; ,,,,IPR015926; ,Cytolysin/lectin; 
c33957_g1_orf1,coral,len=757  frame:-3  start:3893  end:1623  PREDICTED: uncharacterized protein LOC102354522 [Latimeria chalumnae],1.274,1.259,1.427,0.49,0.649,0.407,0.987,0.93,1.055,2.5614489,1.068640646,nucleus,,,,,,,,
c187787_g1_orf1,coral,"len=638  frame:-1  start:1914  end:1  PREDICTED: uncharacterized protein LOC100201520, partial [Hydra vulgaris]",1.381,1.589,1.358,0.645,0.52,0.584,0.686,1.065,1.138,2.47455689,1.243336795,cytoplasm,,,,,,,,
c188603_g1_orf1,coral,"len=277  frame:3  start:3  end:833  PREDICTED: uncharacterized protein LOC100201520, partial [Hydra vulgaris]",1.157,1.411,1.21,0.521,0.649,0.449,1.216,1.308,1.152,2.333539222,0.854733406,extracellular,,,GO:0043169 cation binding; GO:0046872 metal ion binding; GO:0005515 protein binding; GO:0005509 calcium ion binding; GO:0005488 binding; GO:0043167 ion binding; ,,,,IPR000436; IPR001881; IPR000742; ,Sushi/SCR/CCP domain; EGF-like calcium-binding domain; EGF-like domain; 
c212556_g1_orf1,coral,len=1297  frame:2  start:275  end:4165  PREDICTED: uncharacterized protein LOC102383910 [Alligator sinensis],1.192,1.22,1.259,0.535,0.526,0.637,1.036,1.006,1.054,2.161955241,0.973514212,mitochondria,,,GO:1901265 nucleoside phosphate binding; GO:0001882 nucleoside binding; GO:0043167 ion binding; GO:0005515 protein binding; GO:0000166 nucleotide binding; GO:0097159 organic cyclic compound binding; GO:1901363 heterocyclic compound binding; GO:0032549 ribonucleoside binding; GO:0097367 carbohydrate derivative binding; GO:0032553 ribonucleotide binding; GO:0005488 binding; GO:0032550 purine ribonucleoside binding; GO:0043168 anion binding; GO:0032555 purine ribonucleotide binding; GO:0032561 guanyl ribonucleotide binding; GO:0001883 purine nucleoside binding; GO:0019001 guanyl nucleotide binding; GO:0005525 GTP binding; GO:0017076 purine nucleotide binding; GO:0036094 small molecule binding; GO:0035639 purine ribonucleoside triphosphate binding; ,,,,IPR013783; IPR006703; IPR027417; IPR003961; ,Immunoglobulin-like fold; AIG1-type guanine nucleotide-binding (G) domain; P-loop containing nucleoside triphosphate hydrolase; Fibronectin type III; 
c200531_g2_orf1,coral,len=156  frame:-1  start:653  end:186  hypothetical protein NEMVEDRAFT_v1g224966 [Nematostella vectensis]&gt;gi|156199546|gb|EDO26513.1| predicted protein [Nematostella vectensis],1.068,1.572,1.234,0.719,0.653,0.5,1.061,1.013,1.207,2.069444444,1.074367571,cytoplasm,,,,,,,,
c198306_g2_orf1,coral,"len=724  frame:-3  start:2490  end:319  hypothetical protein LOTGIDRAFT_52500, partial [Lottia gigantea]&gt;gi|556113039|gb|ESP01691.1| hypothetical protein LOTGIDRAFT_52500, partial [Lottia gigantea]",1.105,0.999,1.181,0.52,0.62,0.496,1.532,1.52,1.306,2.00794621,0.619550252,nucleus,GO:0016042 lipid catabolic process; GO:0046434 organophosphate catabolic process; GO:0044712 single-organism catabolic process; GO:0044763 single-organism cellular process; GO:0044699 single-organism process; GO:0044255 cellular lipid metabolic process; GO:0044238 primary metabolic process; GO:0044237 cellular metabolic process; GO:0006796 phosphate-containing compound metabolic process; GO:0071704 organic substance metabolic process; GO:0009395 phospholipid catabolic process; GO:1901575 organic substance catabolic process; GO:0008152 metabolic process; GO:0006793 phosphorus metabolic process; GO:0044710 single-organism metabolic process; GO:0044242 cellular lipid catabolic process; GO:0019637 organophosphate metabolic process; GO:0044248 cellular catabolic process; GO:0006644 phospholipid metabolic process; GO:0009987 cellular process; GO:0009056 catabolic process; GO:0006629 lipid metabolic process; ,,"GO:0004620 phospholipase activity; GO:0005515 protein binding; GO:0016787 hydrolase activity; GO:0016298 lipase activity; GO:0003824 catalytic activity; GO:0005488 binding; GO:0016788 hydrolase activity, acting on ester bonds; ",,,,IPR016035; IPR002642; IPR000008; ,"Acyl transferase/acyl hydrolase/lysophospholipase; Lysophospholipase, catalytic domain; C2 domain; "
c187441_g1_orf1,coral,len=208  frame:2  start:2  end:625  cyclophilin [Aiptasia pallida],1.156,1.227,1.18,0.617,0.661,0.543,1.143,1.311,1.19,1.956617243,0.8298573,cytoplasm,GO:0044267 cellular protein metabolic process; GO:0044238 primary metabolic process; GO:0018208 peptidyl-proline modification; GO:0000413 protein peptidyl-prolyl isomerization; GO:0044237 cellular metabolic process; GO:0071704 organic substance metabolic process; GO:0006457 protein folding; GO:0018193 peptidyl-amino acid modification; GO:0008152 metabolic process; GO:0044260 cellular macromolecule metabolic process; GO:0006464 cellular protein modification process; GO:0019538 protein metabolic process; GO:0043170 macromolecule metabolic process; GO:0043412 macromolecule modification; GO:0036211 protein modification process; GO:0009987 cellular process; ,,GO:0003755 peptidyl-prolyl cis-trans isomerase activity; GO:0016853 isomerase activity; GO:0003824 catalytic activity; GO:0016859 cis-trans isomerase activity; ,K09565,PPIF; peptidyl-prolyl isomerase F (cyclophilin D) [EC:5.2.1.8],ko05145 Toxoplasmosis; ko04022 cGMP-PKG signaling pathway; ko04020 Calcium signaling pathway; ko05016 Huntington's disease; ko05012 Parkinson's disease; ,IPR002130; IPR029000; ,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain; Cyclophilin-like domain; 
